	pex3Δ-1	pex3Δ-2	pex3Δ-3	pex3Δmsp1Δ-1	pex3Δmsp1Δ-2	pex3Δmsp1Δ-3	log$_2$(Fold Change)	p-val	padj	-log$_1$$_0$(p-value)	Cohen's $\mathit{d}$
ADE1	1578.08	1777.57	1723.4	1747.43	1655.5	1691.67	0.004410201914901169	0.9405309884974649	0.999944336130877	0.02662689079755705	0.06482665430875836
KIN3	212.321	290.135	206.291	260.501	287.066	210.488	0.09703180224107608	0.664086530025648	0.999944336130877	0.17777532866773704	0.3821947908817398
UIP3	40.964	33.2862	20.2669	29.6285	24.7336	12.817	-0.4925628969374506	0.309539720064525	0.999944336130877	0.5092836145016157	0.9494539134955724
PRM9	236.345	263.485	206.364	236.217	202.97	125.816	-0.32180603581828254	0.26814596688065195	0.999944336130877	0.5716287307712098	1.0492166812540895
YAT1	1349.89	949.137	1148.87	1510.89	984.429	1277.07	0.12976177401402347	0.6019071224769263	0.999944336130877	0.22047051755887015	0.46178097218125097
SWH1	1661.65	1859.52	1718.48	1771.74	1802.97	1692.06	0.007448013006878842	0.8998607566761039	0.999944336130877	0.04582468754478213	0.10942533110452968
HTB2	7297.66	3426.49	3655.3	8607.08	5215.6	6823.71	0.5218810548071219	0.2594889018157132	0.999944336130877	0.5858812119321519	1.0719337595119536
HTA2	3362.85	1938.28	2276.99	4881.7	2852.79	3841.55	0.6112299217926496	0.14050109157736929	0.999944336130877	0.8523203016365775	1.497817165995996
UTP20	379.642	452.64	407.701	470.221	524.767	321.59	0.086472654063517	0.7117028582372555	0.999944336130877	0.1477012900193926	0.32407207391337206
YBL005W-B	5634.86	5366.07	5258.6	7426.97	7595.79	6348.32	0.39437426198278697	0.013783253743015391	0.999944336130877	1.8606482486232876	3.422829905669141
SLA1	2626.04	2972.09	2628.28	2336.67	2907.35	2343.85	-0.11656801496843151	0.3905408554553736	0.999944336130877	0.40833352677846935	0.7854439607669252
SCT1	788.716	816.951	784.256	895.255	797.88	770.022	0.04354444987231799	0.5683208331155613	0.999944336130877	0.24540642359402604	0.5069280607235993
FMT1	851.45	1011.37	1136.8	1016.39	944.752	984.627	-0.02613544558184687	0.8433130742867241	0.999944336130877	0.07401116654522726	0.1721551787878886
ACH1	51314.6	56548.2	53053.3	44533.8	46170.2	52097.5	-0.1722975443604708	0.09437188130460601	0.999944336130877	1.0251573871993642	1.7828418335941756
FUS3	1570.96	2493.9	1569.54	1757.68	2283.85	1856.56	0.06598584906688706	0.8128596505206547	0.999944336130877	0.0899844338231891	0.20643647067163942
PEP1	2294.39	2357.86	2119.39	2151.78	2498.15	2160.25	0.008187653217638894	0.9285129552520455	0.999944336130877	0.03221203230629753	0.07797302674787888
APN2	440.24	589.013	410.063	532.21	547.057	412.2	0.051348688430549703	0.8157716234200486	0.999944336130877	0.08843140567058759	0.2031401983041431
PIM1	16956.7	19383.2	19260.1	17429.4	18390.5	18444.1	-0.03508948502554702	0.6300511637928305	0.999944336130877	0.20062418189455677	0.4251741816619016
MCM2	79.1082	104.494	61.0636	92.9201	85.6732	83.2006	0.09761902979205855	0.6816288424267551	0.999944336130877	0.16645204112608925	0.3605308990785975
NCL1	856.616	748.694	1059.4	917.115	824.704	975.575	0.028245226520948886	0.8705509419141092	0.999944336130877	0.060205810250412106	0.1418104838457785
RRN10	122.691	60.2331	61.2946	140.013	84.5937	110.981	0.4585161661749452	0.30841686920646955	0.999944336130877	0.5108618757477904	0.9519897870131991
RPL19B	6933.28	4291.61	3856.69	5725.9	5174.39	4084.52	-0.009286787085709987	0.9775092080473837	0.999944336130877	0.009879142898507174	0.024489461628283353
YBL029C-A	1533.7	2006.67	2145.52	1901.96	2086.64	2464.28	0.1825570081617538	0.36144896844439073	0.999944336130877	0.4419530103679682	0.8405302569632612
PET9	34555.7	35538.5	35981.3	39943.7	27367.7	37686.4	-0.014732379287712793	0.9309304559669805	0.999944336130877	0.031082761250543	0.07532666375939294
HEK2	1152.47	1249.83	898.687	1384.13	1328.29	636.981	0.021005653091763887	0.9538557957631567	0.999944336130877	0.02051727711779462	0.05027511803273303
RIB1	1036.59	949.188	1117.2	1130.94	1098.02	1341.47	0.20244436553293058	0.15980208388525544	0.999944336130877	0.7964175616054666	1.4076322208799392
POL12	52.695	40.9661	57.9005	52.6085	50.8224	48.502	0.0035300338947672023	0.9819679053964087	0.999944336130877	0.007902706446267213	0.019633222727631745
MRPL16	4830.89	5239.77	5376.14	6007.09	4612.19	6018.87	0.1071870322220898	0.46723209968794144	0.999944336130877	0.3304673280564947	0.6552427158534068
URA7	1703.57	2836.99	2279.43	1977.32	2206.26	2466.86	-0.03631982988928342	0.8817052100617448	0.999944336130877	0.05467659292170831	0.1294566002862288
PRE7	883.872	886.796	1318.13	1133.59	1092.83	1174.79	0.13900255948395623	0.5156130737199522	0.999944336130877	0.28767607934724243	0.5816050527266685
COR1	27978.0	24690.5	30064.9	26928.6	22294.9	35498.7	0.03427018043584384	0.8814481755234014	0.999944336130877	0.05480321682563469	0.12974085101611937
EDE1	6522.0	5547.63	6378.21	5706.63	5710.75	5860.31	-0.09454156118034786	0.27390350052003926	0.999944336130877	0.5624024173742889	1.0344970211455013
SEC17	2646.79	2929.81	2282.14	2696.34	2980.07	2467.36	0.051398794528688764	0.7112997551771671	0.999944336130877	0.1479473407822895	0.32455547782188177
YBL055C	736.245	701.411	682.925	651.057	757.445	679.343	-0.022444979405408676	0.7735666294714285	0.999944336130877	0.11150227334724686	0.2513514693627666
PTC3	396.759	327.886	443.04	405.358	380.306	449.834	0.08144153651457796	0.5946043042475764	0.999944336130877	0.2257719513298612	0.471454869515097
PTH2	2491.98	3441.91	3161.87	3237.16	3613.27	3308.73	0.15951502623418642	0.3090732002326043	0.999944336130877	0.5099386510211036	0.950506473803079
SHP1	428.457	428.481	539.299	417.211	479.84	422.246	-0.08177446770647093	0.5748919221147296	0.999944336130877	0.2404137936425018	0.49795918327711813
