	pex19_1	pex19_2	pex19msp1_1	pex19msp1_2	pex3_1	pex3_2	pex3_3	pex3msp1_1	pex3msp1_2	pex3msp1_3
SSF2	12.2619	5.37173	9.98583	5.22521	16.5063	9.01863	9.27093	10.2796	14.9845	7.09534
OMS1	8.78971	12.9153	10.5407	12.7141	9.3369	9.15142	9.25936	10.6575	7.32882	9.30618
ASP1	12.4185	3.83842	9.61736	5.12636	6.24661	10.9725	16.4231	12.8813	9.73506	12.7408
TIM11	7.69541	11.8777	7.43526	16.3198	11.5216	9.50869	8.44673	9.5642	7.00673	10.624
MRPL35	9.21697	13.5823	10.1932	13.0033	8.84811	8.43166	9.7242	9.10531	8.18771	9.70727
UTP4	11.5713	6.21936	11.5907	7.15434	9.88527	11.504	10.062	11.1466	13.7807	7.08555
YSP2	10.3722	8.86502	10.232	8.03039	10.7377	11.045	9.92468	10.1761	12.4737	8.14317
SKP1	11.4668	3.91415	9.17752	4.82702	11.8874	10.0464	11.2797	12.6664	12.4042	12.3304
PEX3	8.2734	22.0824	27.1497	37.0664	5.06793	0	0.0417855	0.0953771	0.0799033	0.1431
UBX5	11.0258	3.11225	7.46434	4.61795	11.161	11.0506	14.758	10.2361	11.5462	15.0278
GPI8	10.0739	10.3931	13.7275	10.3781	8.74796	10.3766	9.04734	8.52286	11.3087	7.42399
IRC3	9.94837	12.5648	10.8538	11.7557	8.47664	9.53594	10.0722	8.60894	8.80203	9.38166
YDR333C	8.96096	6.94991	8.38912	9.66137	8.7736	19.2367	8.94192	8.58138	13.6584	6.8467
YDR336W	9.49057	11.2912	10.3992	13.0789	9.68365	10.738	8.65046	9.29168	9.5415	7.83474
MRPS28	9.99147	13.1666	7.88151	16.3029	13.5473	8.73868	7.44545	9.09445	7.68294	6.14866
YDR338C	14.0822	3.46107	7.65356	4.25163	12.7439	9.52194	11.5541	13.5016	10.878	12.3519
YDR341C	11.7082	3.37483	8.67994	4.88984	9.48951	11.1552	13.4248	12.911	11.4685	12.898
HXT7	9.35711	7.4049	9.17988	8.04554	9.60932	9.17593	12.8393	11.5752	9.83001	12.9827
HXT6	8.73521	8.8253	8.04301	7.81198	11.5854	9.59605	13.05	9.88907	8.89275	13.5713
SVF1	10.4555	3.35741	7.59386	4.30213	10.9566	10.6113	13.4256	11.8166	12.5787	14.9024
MRP1	8.88101	14.3759	9.72596	14.5405	9.21234	9.4154	8.47047	9.22875	7.87206	8.27763
YDR348C	9.10454	5.93536	11.4163	6.22953	10.9441	11.7018	10.0811	10.5885	11.7676	12.2313
YPS7	8.6569	6.14823	8.8148	6.2748	12.5975	9.30386	8.91174	12.6428	10.8614	15.7879
ATP22	11.3588	12.7848	10.6362	13.9678	8.01331	7.98	9.84061	9.12931	7.04201	9.2472
YDR352W	12.8345	4.25659	7.91831	6.15685	11.7145	10.1076	12.2633	11.2844	10.2114	13.2524
TRR1	12.663	5.97156	8.9045	5.80503	11.0691	9.23967	12.3007	11.2122	10.8573	11.977
TRP4	12.3513	3.87903	7.99192	4.93366	10.6619	12.4652	12.2247	11.1489	12.4801	11.8632
SPC110	9.65189	8.17444	10.9188	6.69894	14.599	9.65613	9.88987	11.5741	8.71596	10.1209
GGA1	10.7481	3.18024	8.26896	4.68582	11.9806	11.271	12.8459	12.1798	11.1675	13.6721
EAF1	9.91184	7.3259	9.13378	8.66807	12.986	7.22349	8.69042	12.8118	9.57865	13.6701
BCP1	12.4295	6.80802	8.98359	5.39099	11.6118	10.437	10.9882	10.3069	11.1727	11.8714
TFC6	10.8165	6.27931	10.1978	6.48346	13.4565	6.74746	8.0056	17.3202	9.55813	11.135
ESC2	10.696	7.86914	11.6352	9.0244	7.1189	12.7439	11.3794	9.70507	10.8664	8.96159
ESF1	13.0343	4.05225	8.91381	3.91905	20.3178	7.60137	10.0127	12.4025	11.2849	8.46124
KEI1	10.7968	5.2748	9.63043	8.97843	11.751	12.1649	10.1362	12.508	11.1997	7.5597
YPR1	12.906	3.39992	8.63996	4.17766	11.8	10.3136	12.937	11.6917	12.2938	11.8404
CTS2	8.82857	5.58165	9.65945	8.08605	8.55254	12.7189	10.4298	10.4556	12.0498	13.6377
VPS74	12.8028	4.3403	8.43176	4.81979	14.588	9.68121	11.5853	12.4333	10.648	10.6695
FRQ1	9.38155	6.45068	9.28513	7.12518	10.368	11.5865	11.161	11.9852	11.2527	11.404
BCS1	9.08798	13.2508	10.2479	12.0786	8.8049	8.15267	9.6552	10.7355	6.42612	11.5603
ARH1	9.57226	15.056	11.8188	14.2387	8.25527	8.56496	8.43386	8.35473	8.10174	7.60358
ATP17	8.87611	11.9043	7.65159	15.5367	14.4731	8.17652	6.72118	9.1089	7.51023	10.0414
LSM6	11.8698	4.50422	11.598	5.64193	10.7823	8.34736	12.5783	12.9574	11.5181	10.2026
YDR379C-A	7.74977	16.3383	7.01631	15.2768	12.6902	10.2406	5.86642	8.55813	10.4136	5.84974
RGA2	17.8548	7.47969	8.39423	6.5312	17.0757	9.86649	6.80155	9.3976	9.54397	7.0547
ARO10	9.36349	4.31202	8.41038	6.50737	9.26826	12.4092	13.6236	10.7177	12.7305	12.6574
YDR381C-A	8.07647	12.9421	9.85763	11.4668	9.23381	8.44413	9.69953	10.2368	8.04458	11.9981
YRA1	9.35525	4.73228	9.62341	6.31387	10.6509	11.8244	9.91401	12.709	13.0468	11.83
RPP2B	9.34045	5.99283	12.1047	7.32647	19.4353	10.0456	3.82753	10.4189	16.2665	5.24167
ATO3	8.19164	1.87343	6.25656	5.63779	6.58853	15.8442	17.0868	9.67056	12.0402	16.8102
EFT2	11.2303	5.71654	9.43668	6.19496	8.78734	12.6482	12.8405	10.9475	11.5882	10.6098
YDR387C	12.4622	4.81777	8.44094	5.97606	12.2503	11.4134	10.5226	12.306	11.3636	10.4472
RVS167	10.3747	3.50143	7.52809	5.1001	14.1834	13.2097	9.90797	12.0012	13.6862	10.5073
SAC7	10.2899	10.5389	10.33	6.83351	12.1626	11.5517	8.8942	8.76663	10.3923	10.2404
UBA2	12.5199	2.53118	8.30978	4.07005	11.1367	11.109	14.2933	10.5963	11.4302	14.0036
YDR391C	11.4722	5.28914	9.19646	5.2319	10.5517	10.253	12.4486	11.0183	11.6958	12.8429
SHE9	9.61268	11.7874	12.1249	11.0455	9.7854	7.94261	9.67156	9.61538	8.44833	9.96622
RPT3	13.0882	3.67656	7.62673	5.84727	12.3553	10.1479	11.3552	12.9639	10.7213	12.2177
SXM1	12.6862	5.45393	9.32784	6.36894	10.6831	12.0576	11.7265	10.88	11.4047	9.41129
UTP5	10.0901	5.58021	11.0503	6.61678	11.9868	11.2839	9.22869	11.8385	14.9757	7.34905
MRP20	9.21099	13.3688	9.97907	12.1964	7.74367	8.79772	9.73632	9.51736	7.80413	11.6456
PDR15	9.98854	8.07897	12.4484	7.82373	9.79829	8.62413	12.5818	9.37517	12.1076	9.17332
ADE8	12.5543	2.59004	7.2093	4.00626	12.2595	9.70083	12.3008	13.396	10.4246	15.5583
SIZ1	10.0808	5.26444	7.91813	6.33925	12.4484	10.4931	8.71375	14.0168	11.8032	12.9221
STE14	11.2598	7.05363	9.38653	9.13025	10.5769	12.5208	9.69748	10.8076	11.6336	7.93346
DFM1	11.2766	5.13864	10.1755	7.64909	8.0073	12.5064	12.0312	10.8956	13.1227	9.19697
RRP17	9.94812	8.64346	7.80238	6.97191	14.8291	11.9935	7.1382	14.4357	11.1888	7.0489
YDR415C	11.226	10.4837	13.138	8.86236	9.40799	7.83762	11.117	9.22204	9.26649	9.43882
RPL12B	11.7803	5.06853	9.91652	5.77098	12.9653	8.79219	10.877	12.9908	10.2427	11.5957
SIP1	11.2552	8.40767	8.21247	7.68438	12.6996	9.2672	10.5795	11.7594	7.63949	12.4951
DYN2	10.4417	6.41957	11.9479	6.10029	10.866	10.2018	9.18701	11.1061	15.1329	8.59662
SNX41	11.9781	6.56294	9.10608	6.77683	10.7469	12.0239	11.2882	10.1795	11.4092	9.92832
RPN9	11.023	5.26572	9.65584	7.10378	12.2411	12.5287	12.9762	10.5893	9.74089	8.87539
TIF35	12.5002	3.87713	8.84403	5.40451	10.3455	10.8404	11.9826	13.1802	11.2695	11.756
CYM1	8.32646	15.4511	11.7836	14.6273	7.2707	8.82381	8.7614	8.00051	8.73673	8.21834
NPL3	12.4654	8.26267	12.7951	10.2386	9.16292	7.65869	9.07714	12.1548	9.73326	8.45134
GPI17	10.6369	6.59829	9.80649	7.11867	9.49921	10.4924	11.7546	11.76	10.9782	11.3552
PPM1	6.96058	11.5241	3.81057	10.2717	9.43109	18.728	8.0829	10.2773	13.591	7.32288
PPZ2	10.95	9.68431	10.93	9.14827	13.2544	10.2796	7.03081	10.228	10.6059	7.88866
LRS4	11.1889	5.91456	7.612	5.18022	13.3384	10.2433	9.56933	13.2476	11.5447	12.1609
DOT1	9.26021	6.6899	10.4389	7.73056	12.9998	10.2439	8.85832	11.9345	11.2092	10.6348
YDR444W	12.3349	4.27478	8.78888	5.23668	12.4807	9.37014	11.2344	11.8558	9.93519	14.4886
RPS17B	11.8846	3.93206	11.3483	5.83843	11.9128	10.2049	11.2952	12.8172	11.7236	9.04294
ADA2	9.17102	6.111	9.9564	7.6985	11.1281	9.74707	8.39415	13.5673	13.2725	10.954
UTP6	10.4926	8.32355	7.93191	7.2657	8.75204	15.816	10.1441	9.54713	12.4549	9.27212
RPS18A	11.3215	4.62164	9.71186	6.53537	14.3474	10.8306	10.4092	13.107	10.8998	8.21569
PPN1	8.79448	13.4612	13.0564	12.4843	9.81014	7.66945	8.09212	10.6861	8.71363	7.23223
TSA2	13.725	2.2198	9.21928	4.77905	9.65102	10.9495	14.244	11.4943	12.6221	11.096
GUK1	11.2068	4.72543	7.8631	5.25085	11.2967	10.0967	13.2763	10.1082	13.2724	12.9034
TOM1	12.0096	6.32787	11.5466	6.24223	11.0732	10.5869	9.28654	10.0115	12.0034	10.912
HEH2	10.7225	4.8709	8.11228	5.17943	11.9415	12.1411	9.8675	14.1555	9.88579	13.1235
MRPL28	10.5457	12.8635	7.56584	15.959	14.0908	8.31812	6.99707	8.40012	8.47066	6.78925
PKH3	14.2005	6.6368	11.6641	6.09265	11.2207	11.7798	9.99582	10.0372	9.6681	8.70439
UGO1	9.84206	12.515	11.8431	12.6335	7.90773	9.08911	9.87222	9.48164	7.48774	9.32789
RPL27B	12.4407	4.72368	10.6931	5.3227	12.0811	9.17804	12.1669	12.3295	10.3271	10.7372
TRS31	12.0363	5.93416	9.80336	6.06194	17.2518	9.50741	8.09451	12.0518	10.6316	8.62706
JIP4	9.16059	11.5442	12.7241	7.262	9.08524	10.6803	10.7081	10.8932	10.9538	6.98839
YDR476C	10.1248	7.46851	6.33674	6.47617	10.8412	11.1775	14.264	8.19232	9.44197	15.6767
SNF1	9.19445	8.45836	7.17396	10.2938	7.44145	17.3265	10.1454	8.31509	12.9992	8.65178
PEX29	8.98062	8.3453	10.4697	8.1998	9.36825	12.5877	10.5707	10.0043	13.0604	8.41321
PHO8	12.2107	4.70441	8.49332	4.86002	14.0421	7.78445	12.0636	12.0289	9.53273	14.2798
KRE2	11.3262	6.29187	7.88939	5.74486	14.5509	10.5559	10.3295	11.4355	10.092	11.7839
VPS52	12.1999	4.50267	10.5009	5.63704	11.5534	12.4081	9.94497	11.8706	12.3531	9.02937
VPS72	7.52345	8.52606	9.10463	8.89899	12.2427	8.97203	8.79204	14.3182	7.4343	14.1876
VPS60	9.89241	7.45172	6.79909	7.88584	14.1234	9.93895	11.0736	10.2638	10.676	11.8952
RIB3	11.312	5.76823	8.50883	6.41167	10.0401	9.79086	10.7683	12.7907	11.1972	13.4122
PKH1	10.9831	6.25689	9.57229	6.72505	13.6669	12.9792	8.93268	10.1625	10.8599	9.86158
MZM1	7.65005	12.8162	9.14838	13.0057	9.2038	10.3773	9.31132	8.63208	10.5504	9.30476
RSM28	9.00577	12.9785	8.83286	12.4993	10.7149	8.80316	9.52581	9.3849	8.73458	9.52028
VPS3	9.78034	5.87042	10.252	6.19319	11.269	13.0951	9.24859	10.6485	14.0058	9.63709
PUF6	13.0541	5.11177	9.35034	5.67444	12.7035	10.6451	10.6633	12.5343	11.2066	9.05657
ITR1	8.96687	5.27359	7.96049	5.18934	10.3952	7.30451	11.8145	11.0995	8.03788	23.9581
SEC20	8.53178	7.0847	9.76505	8.49206	13.159	12.4591	7.16547	9.99289	15.7533	7.59664
LCD1	12.1828	6.44235	8.87037	7.3557	11.6668	10.9305	8.60502	14.0314	10.215	9.70009
RPL37B	10.6492	5.07451	10.3853	6.26577	12.8781	9.70552	9.55326	13.1915	11.5026	10.7943
SAM2	12.2351	4.715	8.8317	5.50618	11.35	10.4956	11.8701	11.2132	12.6794	11.1038
PSP1	9.37597	9.06203	8.95827	10.5062	9.06152	12.7253	8.93126	10.0546	12.2293	9.09547
YDR506C	10.142	8.67021	11.2526	9.81644	11.1064	10.7146	9.29016	9.02405	12.804	7.17959
GIN4	9.11614	7.95958	13.0519	8.25596	8.53782	9.27404	10.3308	10.0568	12.1878	11.2291
GNP1	9.94793	4.0679	7.61883	5.02971	12.6486	9.95167	12.8289	11.2149	11.2768	15.4147
SMT3	9.8076	8.1728	9.16629	8.19415	9.08104	10.911	9.57018	11.9604	10.7567	12.3798
ACN9	8.30991	16.1416	10.3002	17.5883	10.5715	8.83795	6.11748	7.82464	8.27957	6.02882
EMI1	10.77	13.4229	11.8145	10.6114	9.17624	8.14183	8.65501	9.34254	7.67879	10.3868
GRX2	9.31114	14.7599	10.0417	14.0432	10.9205	10.5354	6.23737	8.2144	9.47332	6.46302
YDR514C	8.88145	13.9341	10.8744	13.4083	8.30178	9.61255	8.65816	8.4767	9.35455	8.49801
SLF1	11.1577	5.69433	10.9931	6.01832	12.4945	9.66257	9.36767	13.2125	12.0625	9.3367
EMI2	11.9834	3.61048	9.10247	5.64662	9.49585	10.2105	14.0865	11.9925	10.6888	13.183
GRH1	7.79472	12.9982	7.04897	9.98574	5.44191	20.0667	8.06254	6.19502	16.4879	5.91833
EUG1	7.19117	7.29869	10.3326	10.2347	10.3563	13.0022	9.42392	9.4561	14.2432	8.46115
FPR2	8.1496	7.9647	9.4878	9.26596	8.62192	9.02341	8.14632	11.9687	15.834	11.5376
AGE1	9.18607	11.0919	8.18793	10.6114	7.85881	16.3491	7.41938	8.92536	13.0784	7.29168
QCR7	9.4707	12.5478	8.62755	11.3628	11.6721	7.81754	8.69983	9.93952	7.20493	12.6572
HSP31	12.6062	3.39121	10.4687	3.89187	11.7262	11.1983	12.2087	10.1172	14.4675	9.92408
STL1	11.7865	13.3762	11.2171	7.3045	10.0671	6.42274	11.0786	7.59287	8.15001	13.0045
PAD1	13.3154	25.5735	7.00055	10.1302	8.59101	7.17398	6.55628	6.40879	5.87505	9.37526
FDC1	12.691	3.616	7.41984	4.47229	11.061	10.0389	13.1102	11.7775	10.239	15.5743
YRF1-1	10.325	6.98773	8.85076	9.3162	10.954	10.4945	8.64316	12.7278	11.1967	10.5042
IRC22	9.39569	8.27484	10.6549	8.20659	11.5605	10.2179	8.8011	10.7276	12.2083	9.95255
WBP1	11.875	7.77125	10.4807	8.4408	12.1545	9.81832	10.3798	8.97192	10.7733	9.33436
GIM4	10.2679	4.16397	7.75018	5.28887	13.2205	11.9203	12.3745	12.1675	10.5427	12.3037
YEA6	9.36782	13.5284	10.6647	12.2071	7.93474	9.80351	9.35482	8.96633	7.49808	10.6746
YEL007W	10.85	3.74509	8.61284	4.1643	14.1801	7.59476	9.58478	16.4051	8.70478	16.1582
GLC3	12.4121	2.71918	9.84711	5.03906	9.87813	10.3134	14.4569	11.3883	12.0774	11.8684
UBC8	9.59546	5.14436	5.49498	5.88836	10.1087	14.3373	12.6574	11.3675	12.5985	12.8074
VAC8	12.1882	4.65327	8.99134	5.33947	11.12	10.9642	12.2807	11.4776	11.8158	11.1694
EDC3	10.3794	6.15337	9.3273	5.90611	14.3817	9.90335	10.0484	11.7135	10.2721	11.9147
GTT3	10.0718	5.15498	7.07287	4.90902	11.3711	9.15692	14.6097	11.4864	10.1207	16.0465
EAF5	9.38941	7.24048	9.21483	6.43587	14.5705	8.92319	7.12221	14.6304	11.4559	11.0173
YEL020C	10.9226	13.5409	12.7297	9.69025	9.34032	8.97474	7.22841	9.7423	11.73	6.10082
TIM9	6.34619	17.3153	5.66121	18.7807	14.3994	10.0423	4.47166	9.10991	7.1874	6.68593
GEA2	11.5871	5.69812	8.99661	7.14274	9.37269	13.2432	9.826	12.0119	12.9038	9.21784
RIP1	10.5526	11.7839	10.4516	11.8857	7.80311	8.73701	11.3029	8.82206	7.51498	11.146
SNU13	10.1329	5.47604	9.35805	5.96246	14.6079	10.7853	8.80698	12.4555	15.8314	6.5834
ECM10	8.7216	16.3258	10.1058	13.161	8.26704	9.80718	8.27776	8.26404	8.93872	8.13104
SPF1	10.7503	6.07634	9.79814	7.0164	10.8058	11.0096	11.2643	10.5801	11.8347	10.8642
MCM3	9.13867	4.27842	11.8745	5.76818	13.3708	7.85788	9.70535	14.4834	11.1747	12.3481
HYP2	13.1292	3.14998	8.21105	4.52183	11.8092	10.3889	12.4984	12.4501	10.4419	13.3995
ANP1	10.9409	7.02314	8.14022	5.95631	12.9026	10.1422	11.1469	10.7468	11.3569	11.6441
RAD23	12.7112	3.02656	11.0415	4.02902	12.1503	8.5183	12.681	12.2249	11.1114	12.5059
UTR4	10.0259	3.7865	8.27978	5.00023	10.7737	10.0462	13.169	11.9292	13.3363	13.6533
CYC7	6.92724	16.636	10.8369	19.0185	7.10558	9.40565	6.97078	7.25161	7.92922	7.91853
UTR2	8.50122	8.95687	8.26648	8.36004	14.5701	9.04185	3.67585	15.2675	14.1998	9.16033
GDA1	11.9348	5.34294	8.32943	4.84365	14.8752	8.63305	11.3522	11.4162	9.94567	13.3269
YEL043W	10.0712	7.38777	10.0939	7.03123	12.2238	11.4414	9.70713	10.5444	12.8569	8.6421
IES6	10.3559	3.43368	8.03863	4.87448	17.3748	6.22832	7.83327	17.7266	9.74872	14.3856
YEL047C	13.1229	2.76703	8.24459	4.03689	11.2709	9.20833	14.5141	11.2858	12.6528	12.8968
RML2	10.8868	12.3966	10.2103	12.0377	8.24877	8.45877	10.2737	9.69596	7.53443	10.257
VMA8	12.4253	4.16628	6.79114	5.23171	13.8671	13.3927	11.6162	10.9304	10.951	10.6282
AFG1	9.2578	13.69	10.8106	13.9944	7.29713	9.57123	8.85314	9.20615	8.54847	8.77111
POL5	10.6508	5.06974	10.0754	6.64986	11.5893	11.5307	9.80509	13.6195	12.9468	8.0627
HAT2	11.9864	3.89199	8.77289	4.19792	13.8486	9.41749	12.2284	11.7934	11.0959	12.767
PCM1	11.3291	3.20622	8.49699	5.24772	9.23744	10.2894	14.3244	12.0087	11.7732	14.0868
SOM1	9.35166	11.8021	10.1384	10.541	10.8089	7.22281	8.89861	10.5442	6.17306	14.5191
PRB1	7.9806	15.4084	12.7684	11.548	7.22382	9.14264	7.81291	8.11266	11.772	8.23055
NPR2	13.2649	4.64382	7.86295	4.86696	13.3837	9.62556	11.649	11.4645	11.499	11.7395
MNN1	13.4058	5.38513	8.46898	6.14102	13.9385	8.84508	10.8329	10.7856	10.1725	12.0245
NOP16	11.7119	6.43263	8.02478	8.00975	12.7059	11.0392	7.79338	10.3579	12.6326	11.292
PMI40	10.8269	2.61908	7.70239	4.32287	11.5962	10.4032	12.7814	12.3118	13.813	13.6232
FMP52	9.74867	9.55809	9.54728	9.6736	8.43885	10.3788	11.3654	9.47848	9.02549	12.7854
YND1	10.8739	4.93061	7.72121	6.0472	11.6591	9.91475	12.1982	12.7027	11.0309	12.9214
NUG1	11.3554	6.64007	7.7956	6.73084	13.3949	10.1137	9.81299	11.9209	11.0576	11.178
TMA20	10.7466	4.57931	10.9221	5.97428	9.44529	10.3587	11.1301	13.8742	11.6615	11.3078
SEC3	8.87754	7.94701	11.7837	9.14139	9.99137	13.6325	9.04441	10.196	13.8013	5.58483
NTF2	11.7243	3.87127	7.46896	4.29618	10.9107	9.26669	13.4462	13.7494	10.9718	14.2946
PRE1	11.2619	3.68285	10.2159	5.39037	9.3717	11.2122	12.8776	11.6337	12.7981	11.5557
HEM14	10.1699	11.6994	11.4362	11.0379	9.4103	8.46155	10.2233	9.20821	7.9206	10.4327
FAA2	12.7915	3.07631	8.27115	6.08666	14.4946	8.9507	10.4268	11.3688	11.5533	12.9802
AFG3	10.0617	12.5068	11.1747	11.7182	9.18799	8.37395	9.95429	9.12874	8.03233	9.8613
ISC1	10.9284	6.78801	10.2207	7.83347	9.89503	10.4489	11.2393	11.3148	10.344	10.9873
GPA2	11.1353	8.41068	12.0514	7.11246	10.635	12.9418	7.66728	9.53854	12.9583	7.54925
RPN3	12.1432	6.1144	9.84912	7.99098	11.176	12.5535	10.8352	10.4655	10.9302	7.94186
SRB4	8.38085	10.5749	11.2898	14.4598	9.47662	9.13755	7.3201	10.52	11.3665	7.47398
PRO3	12.8899	3.50407	8.01704	4.5632	12.6112	9.29585	13.2769	12.3171	10.0153	13.5094
YAT2	14.6222	3.92231	6.4808	4.02562	14.0145	9.19008	12.5469	12.2805	9.79361	13.1235
GCD11	13.1104	3.48302	9.10323	4.93165	11.1085	8.92836	14.1231	12.6758	9.33542	13.2006
CHO1	11.0758	4.13003	7.42822	5.88655	8.75885	9.54691	11.3978	14.8142	13.0462	13.9154
GAL83	10.6371	6.39857	10.059	7.08462	10.4062	8.38815	10.9191	12.9747	11.093	12.0395
SMB1	11.0976	4.67235	8.11236	7.29455	14.2477	10.5824	8.69121	14.0141	12.7906	8.49714
CHZ1	9.78699	5.12327	7.14053	5.39617	11.6287	11.849	9.12249	13.7104	12.8661	13.3764
YPT31	8.38422	8.81729	8.06648	9.55943	8.46975	14.074	9.71493	11.5509	10.8068	10.5562
ZRG8	9.70408	12.5862	10.9164	12.111	9.61523	9.50684	6.59063	8.41335	8.26976	12.2865
YER034W	10.2493	6.42491	6.49513	7.74283	17.3188	10.2703	8.57857	10.3335	10.9649	11.6219
ARB1	10.3607	7.63964	5.87838	7.79177	10.7679	17.0561	8.61692	10.5503	11.8171	9.52112
GLN3	12.775	4.88276	5.55384	6.12363	15.4886	6.8434	9.95424	14.3555	8.14387	15.8792
YEN1	8.51185	2.99043	9.10239	5.68014	11.1933	13.1222	9.56049	16.6388	13.055	10.1454
MXR1	10.7567	10.3054	11.1052	9.14785	10.0381	9.26395	9.53006	9.94717	10.8937	9.01177
SAH1	12.7546	2.69173	8.26053	4.32617	10.3815	9.32084	15.1319	12.0787	10.9967	14.0574
ERG28	10.3784	5.0665	9.65651	8.23295	9.96113	12.4819	10.6972	11.6095	12.2706	9.64529
SPO73	9.27095	9.60215	10.4522	9.72272	8.38473	9.39106	9.83726	9.99376	11.162	12.1831
SAP1	10.5637	9.75778	11.2357	9.00763	11.0042	10.9042	8.33689	9.66168	10.7115	8.81683
CAJ1	10.3105	3.73095	8.72144	6.24866	11.5749	14.1408	9.48188	10.4382	14.7977	10.555
ISD11	8.27183	13.9206	8.50069	16.4806	11.3754	10.027	6.72505	9.52547	8.21181	6.96161
TPA1	15.3369	2.59714	10.2952	4.70255	10.3667	10.2911	13.0956	10.5675	11.2125	11.5348
RSM18	8.58807	15.3855	9.9961	12.3259	7.27972	9.19566	9.49507	9.62156	8.33968	9.77271
HOM3	9.9394	10.1574	5.78881	8.38594	7.98438	19.7694	9.0318	7.16971	13.9246	7.84858
PIC2	9.71897	12.5127	11.229	12.1682	8.4718	8.77751	9.46339	9.70475	7.81063	10.143
GIP2	14.9339	5.1823	10.4073	5.88576	12.7771	10.2557	10.9415	10.7695	9.27099	9.57592
HIS1	14.8827	4.10188	7.81739	4.43385	12.193	9.88096	12.3815	12.0797	10.8461	11.3828
RPL34A	11.7543	4.41593	9.48168	5.83635	11.2733	9.91804	10.8484	14.7474	9.57848	12.1461
HMF1	10.9478	5.31159	7.06877	6.82989	11.4108	10.4887	10.9994	12.8644	11.3103	12.7683
PET117	8.73575	13.8796	9.97061	10.4656	9.27517	8.24716	10.5479	9.45885	8.03469	11.3847
CEM1	9.39184	14.8054	11.2608	14.4131	6.90148	10.0373	8.58634	8.00403	8.17317	8.4265
HOR2	10.9303	8.72136	9.83653	8.20846	9.33881	10.2184	11.3891	10.604	10.4514	10.3017
THO1	11.2029	3.24438	6.62065	4.31063	17.4525	10.7203	7.47493	14.0599	12.9815	11.9323
ICL1	15.0164	5.50514	8.63546	3.88354	13.174	8.35791	14.0172	10.1194	10.9308	10.3602
RGI1	12.672	2.75523	7.79412	3.89206	12.3248	9.97161	14.9074	10.5409	13.166	11.9758
"ARG5,6"	9.18999	15.8556	10.6107	14.8918	7.40171	9.68032	8.35267	8.18893	8.13103	7.69721
RNR1	12.3759	6.51128	6.06595	7.39157	13.1464	10.6784	9.51089	12.9172	9.35375	12.0487
ALD5	8.87029	15.4548	11.3073	15.5331	7.49847	9.31311	8.52	7.27971	8.57403	7.64919
RPS24A	11.8315	3.73764	10.8339	5.03752	11.6453	10.0267	11.87	12.7501	11.7398	10.5274
YER077C	8.72449	13.406	10.3084	14.9468	10.6937	9.43794	7.8812	8.94591	9.21373	6.44175
ICP55	9.05106	14.6046	11.3433	14.5443	7.47163	8.81518	8.76228	8.21936	8.79925	8.38906
YER079W	7.93394	2.62691	5.35908	1.55414	8.69257	5.46818	30.9528	8.80799	5.09301	23.5114
AIM9	8.47831	15.7384	11.1099	15.3808	7.62685	10.1068	8.31386	7.74234	8.38529	7.11754
SER3	14.7656	5.11657	8.19015	4.95448	13.1892	7.35152	13.0325	10.3964	8.16682	14.8368
UTP7	9.70482	7.70767	9.46834	7.92088	12.4247	12.3004	8.04024	10.6422	14.5164	7.27441
GET2	8.62391	6.34714	7.46849	8.94797	14.855	12.3642	8.45363	11.2165	12.2097	9.51346
ILV1	9.13594	17.1992	11.2133	14.0242	6.65182	9.21817	8.67047	7.8615	8.03421	7.99116
SBH1	6.78556	9.15394	9.13043	10.3165	15.8295	11.2358	5.33749	8.40504	17.0813	6.72439
AIM10	8.83213	14.9846	10.8621	13.9077	7.78609	8.94258	9.12259	8.33169	8.31661	8.91397
PTC2	13.0973	3.24812	8.3184	4.49552	10.8513	9.46094	13.3372	11.66	10.5237	15.0076
TRP2	12.0429	5.08736	7.53283	5.30133	11.3476	10.7289	13.0216	10.982	11.3575	12.5979
MET6	12.002	2.72515	9.77085	4.43291	10.7821	9.7936	14.0532	11.8986	10.9173	13.6244
TSC11	8.70784	7.87449	11.3572	8.47229	9.02268	11.0359	10.8002	10.2311	10.0502	12.448
AIM11	9.06926	12.4974	10.2344	14.0604	8.87074	9.75728	8.8031	10.7719	7.59649	8.33904
PUP3	12.0102	3.39374	10.3828	5.55783	9.01313	10.2598	12.8979	12.2651	13.0532	11.1663
UBP9	12.8701	8.31664	13.9157	6.83313	13.0008	11.9195	6.51133	11.9668	9.91794	4.74803
PRS2	13.1724	3.59066	6.23559	4.3367	14.5423	9.44205	11.3805	13.9536	7.55876	15.7874
AST2	12.5953	6.12083	8.97692	6.77278	13.0127	9.77897	10.9919	11.0778	10.5846	10.0882
SSA4	10.1929	4.84846	10.0678	5.92587	9.85066	11.1774	13.9437	10.297	12.9781	10.7181
NUP157	11.2142	4.93933	8.05534	5.62589	10.6432	10.2293	15.0586	11.0365	10.3064	12.8913
GLE2	11.7948	5.75066	7.92638	5.90101	10.6178	7.72721	14.8262	11.15	8.1879	16.118
KAP123	11.6066	5.11881	9.27143	5.76769	10.5033	11.5239	11.989	11.7862	11.9767	10.4562
LSM4	12.5265	4.33773	11.4726	5.08714	11.0472	9.4421	9.90629	13.6672	11.2331	11.2801
TMN3	10.3612	5.87384	9.05754	6.01833	12.0618	11.378	11.1196	11.7007	11.2091	11.2199
