	pex19_1	pex19_2	pex19msp1_1	pex19msp1_2	pex3_1	pex3_2	pex3_3	pex3msp1_1	pex3msp1_2	pex3msp1_3
SCO2	9.12689	11.9711	11.1653	12.7206	7.98411	9.80632	9.62988	10.7284	7.49472	9.37268
OLA1	11.5203	4.62666	6.00563	5.7859	12.6973	11.7804	12.0181	12.25	10.3104	13.0053
ETR1	9.48138	14.5552	10.859	14.3965	7.96011	10.0597	8.68062	7.52878	8.63245	7.8462
YPK3	11.326	5.54234	8.77662	6.90887	12.2228	9.29518	10.7557	12.9434	7.84986	14.3792
CDS1	10.338	7.84048	9.74104	7.16107	12.2874	11.7078	8.40528	10.742	13.0196	8.75733
RPL4A	11.8507	5.56451	10.536	6.17639	11.9432	9.10847	11.5254	13.0015	9.87816	10.4157
HMT1	9.38393	8.15702	6.46281	7.2633	6.41123	17.176	11.585	9.03742	12.3623	12.161
PDX3	12.3927	5.50863	8.61006	6.80822	12.2083	8.41783	12.913	11.562	10.6944	10.8848
CSG2	12.8695	4.72948	8.77651	6.40672	10.4805	10.4198	12.1224	11.2733	11.0895	11.8323
SCO1	7.63976	12.7101	8.46914	12.2482	8.08414	9.16344	8.3906	13.6787	5.75152	13.8644
CHS2	10.0304	8.69323	10.6582	9.68537	11.8087	6.94227	11.4078	11.0546	6.87771	12.8418
ATP3	9.20988	12.3331	9.46938	13.3024	11.4229	9.11165	8.89654	9.67016	7.25223	9.33177
FAT1	10.9935	6.58964	9.15621	6.9788	10.5439	10.6083	10.7766	11.6727	10.9926	11.6878
CST26	11.3236	6.34916	10.6071	7.03772	9.60949	11.2788	11.1795	10.9186	12.0319	9.66421
QDR3	9.11196	12.8862	9.8244	10.8801	9.2169	10.5981	10.2542	9.64895	7.0189	10.5602
TCM62	9.1591	14.4794	10.6402	13.1997	7.91704	9.09582	9.97118	8.62207	8.07632	8.8391
ZTA1	10.3347	9.03176	8.81967	8.05539	10.6731	11.5951	9.66712	9.07213	14.0305	8.72048
FMP23	9.80088	15.3199	11.5316	12.3574	8.58188	11.6108	8.9732	7.19262	8.58289	6.04879
RPS11B	11.6575	4.42917	10.636	5.68117	11.6834	9.42682	11.3465	13.7179	10.9783	10.4432
REB1	9.4666	6.51392	8.18829	7.40335	16.8279	7.83793	6.20667	16.3395	11.0688	10.147
RFS1	9.48333	8.91261	15.2767	8.2606	9.46507	12.462	4.6753	10.3447	17.6217	3.49793
YBR053C	12.3093	2.97842	9.89124	5.30762	9.71121	11.4122	13.4169	11.1584	11.9444	11.8703
YRO2	12.3716	10.9828	10.6738	7.30765	13.8278	9.72683	7.50536	10.1785	10.9382	6.48745
YBR056W	9.67324	3.57601	9.36378	6.48237	7.55537	15.4791	11.5137	10.1618	17.1709	9.02374
AKL1	10.8266	6.92535	10.8788	7.38057	9.96994	12.3052	11.3482	9.95133	9.90642	10.5076
BAP2	10.754	3.46218	8.93018	5.88487	9.18272	11.4002	14.0709	11.2994	9.29177	15.7237
TAT1	10.962	5.62156	10.3019	5.51896	11.649	8.07815	13.3895	9.35797	11.3515	13.7695
ALG14	9.02579	6.22362	9.4385	9.07298	9.49993	14.222	9.9199	11.6599	12.3954	8.54205
HSP26	12.3919	2.76202	8.82565	4.69818	9.77462	11.7302	15.1227	10.5132	12.3399	11.8417
RDH54	9.00426	9.05981	10.1823	10.3283	9.89683	10.7345	9.32369	10.7371	10.0988	10.6344
YBR074W	13.583	3.77434	8.7977	4.95412	12.0226	8.41685	13.3065	11.5037	9.46843	14.1728
SLM4	11.5356	7.43183	10.1212	6.47712	10.9919	11.8426	9.23864	10.3579	11.459	10.5443
ECM33	11.5794	9.02228	9.39452	8.32469	19.1206	7.22718	2.84484	9.90277	16.961	5.62267
RPG1	11.9064	5.09931	9.03917	6.11844	11.3859	11.354	11.7796	11.6219	11.5184	10.1768
SEC18	8.61133	8.18164	10.4514	9.05655	9.54754	12.2445	9.85976	9.73718	12.4789	9.83118
SPT7	9.11709	5.85591	9.4375	6.8686	15.7832	7.68536	8.68225	13.1038	12.3769	11.0893
TEC1	9.41056	4.10804	7.03568	7.20217	17.4914	7.94647	9.09876	15.0798	10.3734	12.2537
MIS1	9.78111	14.8447	11.1923	13.3206	8.6092	8.6536	8.65521	8.33005	8.49038	8.12284
YBR085C-A	8.54537	6.76736	6.69322	8.16411	11.6119	13.4942	5.18522	14.3604	9.92533	15.2529
IST2	9.35026	9.07482	11.0767	8.2954	11.1177	13.0571	7.77206	10.1439	13.4455	6.66656
RFC5	12.6674	4.09295	8.82737	7.12029	14.2379	9.20726	9.99668	13.7015	8.35587	11.7928
POL30	10.9866	4.05581	9.38179	5.0938	10.7048	10.7475	12.3075	12.4885	12.4479	11.7857
NHP6B	8.15798	2.70386	5.92978	4.23243	23.4557	9.35161	5.39079	18.5596	12.8502	9.36806
TIM12	8.4854	13.4805	7.89745	14.2266	9.56266	10.0058	7.98341	12.1016	5.71016	10.5464
PBY1	13.4853	4.69208	10.2249	5.78971	10.0853	11.5344	10.1544	12.2209	11.3392	10.4737
RXT2	8.68032	6.71803	8.62934	8.44904	11.8637	9.60392	6.79542	16.6666	11.0072	11.5865
